CarID,Dimensions.Height,Dimensions.Length,Dimensions.Width
1,140,143,202
2,140,143,202
3,140,143,202
4,140,143,202
5,140,143,202
6,91,17,62
7,91,17,62
8,201,221,191
9,201,221,191
10,147,96,34
11,147,96,34
12,147,96,34
13,172,63,87
14,172,63,87
15,226,243,201
16,226,243,201
17,148,12,191
18,148,12,191
19,112,22,181
20,112,140,181
21,120,140,181
22,112,22,181
23,112,140,181
24,120,140,181
25,112,22,181
26,112,140,181
27,120,140,181
28,77,60,219
29,77,60,219
30,77,60,219
31,77,60,219
32,22,60,219
33,22,60,219
34,24,60,224
35,24,60,224
36,77,102,237
37,82,215,240
38,85,215,237
39,85,215,237
40,77,102,237
41,82,215,240
42,43,52,52
43,35,75,52
44,35,75,52
45,167,168,247
46,167,168,247
47,167,155,247
48,167,155,247
49,193,34,107
50,99,195,153
51,110,199,153
52,99,195,153
53,99,195,153
54,118,170,184
55,108,170,184
56,185,170,184
57,185,170,184
58,195,170,184
59,120,7,44
60,119,230,44
61,119,230,44
62,172,123,234
63,172,123,234
64,172,123,234
65,190,123,234
66,203,19,72
67,203,19,72
68,203,19,72
69,203,14,72
70,213,243,69
71,213,243,69
72,213,243,69
73,213,243,69
74,177,169,234
75,193,169,234
76,177,169,234
77,175,19,97
78,175,19,97
79,175,19,97
80,175,19,97
81,66,230,69
82,66,230,69
83,66,230,69
84,66,230,69
85,24,216,133
86,24,216,24
87,93,216,133
88,24,216,133
89,24,216,133
90,247,200,105
91,247,200,105
92,247,200,105
93,247,200,105
94,10,215,69
95,24,216,133
96,24,216,133
97,24,216,133
98,93,216,133
99,24,216,133
100,24,216,133
101,143,196,203
102,152,240,57
103,152,240,57
104,152,240,57
105,152,240,57
106,152,240,57
107,152,240,57
108,152,240,57
109,152,240,57
110,45,150,57
111,45,150,57
112,45,150,57
113,45,150,57
114,45,150,57
115,45,150,57
116,45,150,57
117,45,150,57
118,143,196,203
119,35,150,52
120,35,150,52
121,35,150,52
122,35,150,52
123,143,196,203
124,35,150,52
125,35,150,52
126,35,150,52
127,35,150,52
128,147,95,248
129,147,95,248
130,147,95,214
131,147,95,214
132,193,57,186
133,193,57,186
134,193,57,186
135,193,57,160
136,193,57,160
137,193,57,160
138,167,168,247
139,167,168,247
140,167,155,247
141,167,155,247
142,147,95,34
143,147,95,34
144,172,123,234
145,190,123,234
146,156,95,248
147,156,95,214
148,155,95,34
149,152,240,57
150,152,240,57
151,152,240,57
152,152,240,57
153,152,240,57
154,152,240,57
155,152,240,57
156,193,226,186
157,193,226,186
158,193,226,160
159,193,226,160
160,58,66,54
161,195,66,54
162,195,66,54
163,195,66,54
164,195,66,54
165,195,66,54
166,195,66,54
167,195,66,54
168,195,71,54
169,206,155,57
170,206,155,57
171,35,150,57
172,35,150,57
173,35,150,57
174,35,150,57
175,205,155,57
176,206,155,57
177,206,155,57
178,191,198,29
179,191,198,29
180,191,198,29
181,191,198,29
182,191,198,29
183,186,198,29
184,186,198,29
185,186,198,29
186,191,198,29
187,191,198,29
188,185,181,31
189,185,181,31
190,208,93,186
191,208,93,186
192,208,93,186
193,208,93,186
194,208,93,186
195,208,93,186
196,208,93,186
197,208,93,186
198,208,93,186
199,208,93,186
200,208,93,186
201,208,93,186
202,208,93,186
203,208,93,186
204,208,93,186
205,139,242,3
206,139,242,3
207,213,243,69
208,213,243,69
209,175,19,97
210,175,19,97
211,175,19,97
212,66,230,69
213,66,230,69
214,247,200,105
215,247,200,105
216,139,242,3
217,139,242,3
218,191,197,29
219,191,198,29
220,191,198,29
221,191,198,29
222,191,198,29
223,186,198,29
224,186,198,29
225,186,198,29
226,191,216,29
227,191,198,29
228,247,200,105
229,247,200,105
230,175,19,97
231,175,19,97
232,175,19,97
233,193,169,234
234,218,169,234
235,124,198,152
236,109,195,123
237,99,195,123
238,208,93,188
239,208,93,188
240,208,93,188
241,208,93,188
242,109,195,135
243,109,195,125
244,117,195,135
245,210,34,107
246,186,220,227
247,186,220,227
248,186,220,227
249,186,202,227
250,186,202,227
251,13,24,156
252,101,14,227
253,103,17,228
254,102,202,196
255,104,202,196
256,92,17,189
257,92,17,189
258,61,234,194
259,92,17,189
260,92,17,189
261,92,17,62
262,92,17,62
263,92,17,62
264,43,232,194
265,13,24,156
266,195,71,54
267,102,207,196
268,195,86,54
269,195,86,54
270,195,86,54
271,195,86,54
272,195,86,54
273,195,86,54
274,195,86,54
275,195,86,54
276,195,86,54
277,102,202,196
278,61,234,194
279,43,232,194
280,172,19,242
281,172,19,242
282,172,19,242
283,172,19,242
284,172,19,242
285,172,19,242
286,172,19,242
287,172,19,242
288,172,19,242
289,172,19,242
290,172,19,242
291,172,19,242
292,186,187,224
293,186,187,224
294,186,187,224
295,186,187,224
296,186,187,224
297,186,187,224
298,186,187,224
299,186,187,224
300,19,63,113
301,37,63,113
302,37,63,113
303,188,61,82
304,179,63,237
305,177,202,244
306,177,202,244
307,177,202,244
308,177,202,244
309,177,202,244
310,177,202,244
311,177,202,244
312,177,202,244
313,177,202,244
314,177,202,244
315,177,202,244
316,177,202,244
317,177,202,244
318,177,202,244
319,177,202,244
320,177,202,244
321,177,202,244
322,19,63,113
323,37,63,113
324,37,63,113
325,194,177,118
326,194,177,118
327,194,177,118
328,224,177,118
329,224,177,118
330,224,177,118
331,224,177,118
332,224,177,118
333,194,177,118
334,194,177,118
335,194,177,118
336,224,177,118
337,224,177,118
338,224,177,118
339,224,177,118
340,224,177,118
341,224,177,118
342,132,134,105
343,132,134,105
344,132,134,105
345,88,87,179
346,88,87,179
347,13,14,229
348,13,14,229
349,13,14,229
350,13,14,229
351,24,14,229
352,38,95,189
353,38,95,189
354,1,95,189
355,38,95,189
356,1,95,189
357,38,20,189
358,38,20,189
359,38,20,189
360,38,20,189
361,38,20,189
362,38,20,189
363,38,20,189
364,38,20,189
365,13,14,229
366,13,14,229
367,13,42,229
368,13,42,229
369,24,42,229
370,23,42,229
371,23,42,229
372,13,14,229
373,189,155,222
374,189,155,222
375,189,155,222
376,168,155,222
377,168,155,222
378,168,155,222
379,223,204,244
380,223,204,244
381,223,204,244
382,223,204,244
383,223,204,244
384,223,204,244
385,223,204,244
386,226,214,173
387,226,214,173
388,226,214,173
389,226,214,173
390,226,214,173
391,137,215,62
392,137,190,62
393,137,190,62
394,137,190,62
395,179,52,237
396,179,52,220
397,226,79,142
398,226,79,142
399,226,79,142
400,226,79,142
401,226,79,142
402,179,52,220
403,198,69,220
404,198,69,220
405,140,105,91
406,180,17,63
407,191,147,63
408,189,155,222
409,189,155,222
410,168,155,222
411,168,155,222
412,168,155,222
413,189,155,222
414,164,198,236
415,164,198,236
416,115,140,158
417,115,140,158
418,115,140,158
419,115,140,158
420,117,21,41
421,117,21,41
422,117,21,41
423,117,21,41
424,135,134,105
425,135,134,105
426,135,134,105
427,117,21,41
428,117,20,88
429,117,105,214
430,117,105,214
431,117,105,214
432,117,105,214
433,117,105,214
434,117,105,214
435,117,105,214
436,117,105,214
437,201,225,129
438,201,225,129
439,201,225,129
440,141,249,107
441,226,79,142
442,226,79,142
443,226,79,142
444,226,79,142
445,226,79,142
446,195,195,82
447,195,196,83
448,195,60,83
449,195,60,83
450,141,249,107
451,159,249,107
452,170,18,163
453,170,18,163
454,170,18,163
455,170,18,163
456,195,196,83
457,195,196,83
458,195,60,83
459,195,60,83
460,190,206,158
461,190,206,158
462,190,206,158
463,190,206,158
464,190,206,158
465,190,206,158
466,190,206,158
467,190,206,158
468,190,206,158
469,190,206,158
470,170,16,163
471,170,16,163
472,190,183,158
473,190,183,158
474,190,183,158
475,190,183,158
476,210,45,57
477,210,45,57
478,210,30,57
479,210,30,57
480,201,225,129
481,201,225,129
482,201,225,129
483,201,223,191
484,201,223,191
485,201,223,191
486,148,12,24
487,148,12,24
488,148,12,24
489,148,12,24
490,148,12,62
491,148,12,62
492,148,12,62
493,148,12,62
494,208,12,62
495,208,12,62
496,208,12,62
497,208,12,62
498,115,140,158
499,115,140,158
500,172,123,234
501,109,228,125
502,109,228,125
503,109,228,125
504,109,228,125
505,109,228,125
506,109,228,125
507,109,228,125
508,109,228,125
509,33,28,229
510,33,28,229
511,109,228,125
512,109,228,125
513,109,228,125
514,109,228,125
515,109,228,125
516,109,228,125
517,109,228,125
518,109,228,125
519,150,22,234
520,150,22,234
521,150,22,234
522,132,9,211
523,132,9,211
524,132,9,211
525,132,9,211
526,96,228,125
527,96,228,125
528,96,228,125
529,96,228,125
530,96,228,125
531,96,228,125
532,96,228,125
533,96,228,125
534,96,228,125
535,96,228,125
536,150,22,234
537,165,22,234
538,155,176,239
539,155,176,239
540,155,176,239
541,155,176,239
542,155,176,239
543,155,176,239
544,155,176,239
545,155,176,239
546,155,176,239
547,155,176,239
548,200,153,239
549,200,153,239
550,200,153,239
551,200,153,239
552,200,153,239
553,162,233,41
554,162,233,41
555,162,233,41
556,162,233,41
557,162,233,41
558,162,233,41
559,162,233,41
560,162,233,41
561,162,233,41
562,137,190,62
563,137,190,62
564,137,190,62
565,165,233,41
566,165,233,41
567,165,233,41
568,165,233,41
569,165,233,41
570,165,233,41
571,165,233,41
572,165,233,41
573,165,233,41
574,165,233,41
575,165,233,41
576,165,233,41
577,165,233,41
578,165,233,41
579,165,233,41
580,165,233,41
581,165,233,41
582,165,233,41
583,165,233,41
584,165,233,41
585,180,176,239
586,180,176,239
587,180,176,239
588,180,176,239
589,201,221,191
590,180,244,239
591,180,244,239
592,180,244,239
593,180,244,239
594,119,128,229
595,119,128,229
596,119,128,229
597,119,128,229
598,228,82,138
599,228,82,138
600,180,176,239
601,180,176,239
602,180,176,239
603,180,176,239
604,180,176,239
605,180,176,239
606,180,176,239
607,228,79,237
608,228,83,237
609,238,133,229
610,238,133,229
611,238,133,229
612,238,133,229
613,238,123,229
614,238,123,229
615,238,123,229
616,238,123,229
617,238,123,229
618,238,123,229
619,238,123,229
620,238,123,229
621,238,123,229
622,238,123,229
623,210,38,97
624,210,38,97
625,200,122,97
626,195,122,97
627,200,122,97
628,119,128,229
629,119,128,229
630,119,128,229
631,119,128,229
632,175,235,39
633,175,235,39
634,175,235,39
635,175,235,39
636,175,235,39
637,117,105,214
638,117,105,214
639,117,105,214
640,117,105,214
641,117,105,214
642,117,105,214
643,117,105,214
644,117,105,214
645,117,105,214
646,170,235,39
647,200,192,13
648,200,192,13
649,200,192,13
650,200,192,13
651,200,192,13
652,200,192,13
653,190,143,158
654,190,143,158
655,190,143,158
656,195,111,97
657,200,111,97
658,200,111,97
659,195,111,97
660,104,22,72
661,104,22,72
662,104,22,72
663,104,22,72
664,104,22,72
665,104,22,72
666,104,22,72
667,104,22,72
668,104,22,72
669,104,22,72
670,104,22,72
671,104,22,72
672,104,22,72
673,104,22,72
674,104,22,72
675,104,22,72
676,104,22,72
677,104,22,72
678,104,22,72
679,104,22,72
680,104,22,72
681,104,22,72
682,104,22,72
683,104,22,72
684,104,22,72
685,104,22,72
686,104,22,72
687,104,22,72
688,157,118,3
689,188,115,242
690,188,115,242
691,137,169,85
692,137,169,85
693,137,169,85
694,137,169,85
695,137,169,85
696,137,169,85
697,137,169,85
698,137,169,85
699,119,169,85
700,165,22,234
701,137,169,85
702,137,169,85
703,137,169,85
704,137,169,85
705,137,169,85
706,137,169,85
707,137,169,85
708,137,169,85
709,144,169,85
710,144,169,85
711,144,169,85
712,144,169,85
713,137,169,85
714,137,169,85
715,137,169,85
716,137,169,85
717,144,169,85
718,144,169,85
719,144,169,85
720,144,169,85
721,137,169,85
722,137,169,85
723,137,169,85
724,137,169,85
725,150,22,234
726,157,118,3
727,165,22,234
728,165,22,234
729,150,22,234
730,150,22,234
731,190,175,158
732,190,175,158
733,190,185,158
734,190,185,158
735,190,185,158
736,190,185,158
737,188,115,242
738,190,153,158
739,190,153,158
740,190,153,158
741,190,153,158
742,190,153,158
743,74,8,249
744,74,8,249
745,74,8,249
746,74,8,249
747,74,8,249
748,96,228,125
749,96,228,125
750,96,228,125
751,96,228,125
752,96,228,125
753,96,228,125
754,96,228,125
755,96,228,125
756,96,228,125
757,96,228,125
758,96,228,125
759,132,169,85
760,132,169,85
761,132,169,85
762,132,169,85
763,132,169,85
764,132,169,85
765,132,169,85
766,132,169,85
767,74,8,249
768,74,8,249
769,74,8,249
770,74,8,249
771,74,8,249
772,74,8,249
773,74,8,249
774,144,169,85
775,144,169,85
776,144,169,85
777,144,169,85
778,144,169,85
779,144,169,85
780,144,169,85
781,144,169,85
782,228,83,138
783,228,79,112
784,224,10,191
785,239,10,191
786,127,172,85
787,119,172,85
788,139,172,85
789,104,172,85
790,104,172,85
791,139,172,85
792,24,10,191
793,36,10,191
794,224,202,191
795,224,10,191
796,224,10,191
797,220,79,113
798,188,115,242
799,220,83,113
800,173,63,92
801,173,63,92
802,173,63,92
803,173,63,92
804,173,63,92
805,173,63,92
806,173,63,92
807,173,63,92
808,173,63,92
809,163,63,92
810,163,63,92
811,126,109,248
812,96,228,125
813,96,228,125
814,96,228,125
815,96,228,125
816,96,228,125
817,96,228,125
818,96,228,125
819,96,228,125
820,96,228,125
821,96,228,125
822,147,95,214
823,173,63,92
824,173,63,92
825,173,63,92
826,208,63,92
827,208,63,92
828,208,63,92
829,208,63,92
830,208,63,92
831,208,63,92
832,198,52,92
833,198,52,92
834,99,87,62
835,99,87,62
836,99,87,62
837,99,87,62
838,99,87,62
839,99,98,62
840,99,98,62
841,200,105,249
842,200,105,249
843,200,105,249
844,99,87,62
845,99,87,62
846,99,87,62
847,99,87,62
848,99,87,62
849,99,98,62
850,99,98,62
851,126,109,34
852,158,255,8
853,158,255,8
854,158,255,8
855,158,255,8
856,158,255,8
857,158,255,8
858,158,255,8
859,155,151,216
860,117,105,214
861,155,151,216
862,155,151,216
863,155,151,216
864,155,151,216
865,155,151,216
866,155,151,216
867,155,151,216
868,155,151,216
869,155,151,216
870,155,151,216
871,155,151,216
872,155,151,216
873,41,20,57
874,41,20,57
875,52,20,57
876,52,20,57
877,36,20,57
878,52,20,57
879,41,20,57
880,54,20,57
881,52,20,57
882,188,68,97
883,188,68,97
884,188,68,97
885,188,68,97
886,188,68,97
887,188,68,97
888,188,68,97
889,188,68,97
890,188,68,97
891,188,68,97
892,188,68,97
893,188,68,97
894,188,68,97
895,188,68,97
896,188,68,97
897,188,68,97
898,188,68,97
899,188,68,97
900,5,33,143
901,5,33,143
902,5,33,143
903,5,33,143
904,5,33,143
905,5,33,143
906,5,33,143
907,5,33,143
908,5,33,143
909,5,33,143
910,5,33,143
911,5,33,143
912,5,33,143
913,5,33,143
914,5,33,143
915,200,105,249
916,200,105,249
917,200,105,249
918,200,105,249
919,200,105,249
920,165,70,138
921,165,70,138
922,165,70,138
923,165,70,138
924,165,70,138
925,165,70,138
926,165,70,138
927,200,105,249
928,200,105,249
929,89,27,228
930,89,27,228
931,165,70,138
932,165,70,138
933,165,70,138
934,165,70,138
935,165,70,138
936,165,70,138
937,165,70,138
938,165,108,133
939,165,108,133
940,165,108,133
941,165,108,133
942,165,108,133
943,165,108,133
944,165,108,133
945,165,108,133
946,92,17,62
947,92,17,62
948,165,70,138
949,165,70,138
950,165,70,138
951,89,27,62
952,89,27,62
953,169,52,237
954,169,52,220
955,155,151,216
956,155,151,216
957,155,151,216
958,155,151,216
959,155,151,216
960,155,151,216
961,155,151,216
962,155,151,216
963,155,151,216
964,155,151,216
965,155,151,216
966,155,151,216
967,155,151,216
968,212,108,135
969,212,108,135
970,212,108,135
971,212,108,135
972,212,108,135
973,212,108,135
974,212,108,135
975,212,108,135
976,212,108,135
977,223,82,52
978,223,82,52
979,223,82,52
980,223,82,52
981,223,82,52
982,223,82,52
983,223,82,52
984,223,82,52
985,52,20,57
986,36,20,57
987,41,20,57
988,52,20,57
989,54,20,57
990,52,20,57
991,41,20,57
992,214,15,161
993,214,23,161
994,214,15,161
995,214,23,161
996,41,25,57
997,52,25,57
998,52,25,57
999,54,25,57
1000,36,25,57
1001,52,25,57
1002,52,25,57
1003,41,25,57
1004,115,23,161
1005,214,23,161
1006,214,23,161
1007,214,15,161
1008,148,75,16
1009,148,75,16
1010,150,75,16
1011,150,75,16
1012,190,212,41
1013,190,212,41
1014,190,212,41
1015,190,212,41
1016,190,212,41
1017,190,212,41
1018,190,212,41
1019,190,212,41
1020,190,212,41
1021,190,212,41
1022,190,212,41
1023,190,212,41
1024,190,212,41
1025,190,212,41
1026,190,212,41
1027,190,212,41
1028,193,190,39
1029,193,190,39
1030,193,190,39
1031,193,190,39
1032,193,190,39
1033,193,190,39
1034,193,190,39
1035,193,190,39
1036,193,190,39
1037,114,239,203
1038,114,239,203
1039,13,233,153
1040,13,233,153
1041,13,233,153
1042,13,233,153
1043,13,233,153
1044,13,233,153
1045,13,233,153
1046,13,233,153
1047,244,8,158
1048,244,8,158
1049,244,8,158
1050,244,8,158
1051,185,212,41
1052,120,47,29
1053,148,47,29
1054,120,47,29
1055,120,47,29
1056,120,47,29
1057,120,47,29
1058,120,47,29
1059,148,47,29
1060,148,47,29
1061,148,47,29
1062,109,73,79
1063,109,73,79
1064,109,73,79
1065,109,73,79
1066,109,73,79
1067,109,73,79
1068,109,73,79
1069,191,5,135
1070,191,5,135
1071,191,5,135
1072,191,5,135
1073,191,5,135
1074,191,5,135
1075,191,5,135
1076,191,5,135
1077,191,5,135
1078,244,8,158
1079,244,8,158
1080,244,8,158
1081,244,8,158
1082,191,5,135
1083,191,5,135
1084,191,5,135
1085,191,5,135
1086,191,5,135
1087,191,5,135
1088,191,5,135
1089,191,5,135
1090,191,5,135
1091,191,5,135
1092,109,73,79
1093,109,73,79
1094,109,73,79
1095,109,73,79
1096,109,73,79
1097,109,73,79
1098,120,47,29
1099,148,47,29
1100,148,47,29
1101,148,47,29
1102,148,47,29
1103,148,47,29
1104,148,47,29
1105,120,47,29
1106,148,47,29
1107,148,47,29
1108,220,79,237
1109,220,83,237
1110,191,5,135
1111,191,5,135
1112,191,5,135
1113,191,5,135
1114,191,5,135
1115,191,5,135
1116,191,5,135
1117,191,221,143
1118,191,221,143
1119,191,221,143
1120,191,221,143
1121,191,221,143
1122,191,221,143
1123,148,75,16
1124,148,75,16
1125,148,75,16
1126,150,75,16
1127,191,146,135
1128,191,146,135
1129,137,200,79
1130,137,200,79
1131,137,200,79
1132,137,200,79
1133,132,9,211
1134,132,9,211
1135,132,9,211
1136,137,231,79
1137,137,200,79
1138,137,231,79
1139,137,200,79
1140,127,9,211
1141,127,9,211
1142,142,9,211
1143,142,9,211
1144,148,47,29
1145,120,47,29
1146,148,47,29
1147,148,47,29
1148,120,47,29
1149,120,47,29
1150,148,47,29
1151,120,47,29
1152,120,47,29
1153,127,9,211
1154,142,9,211
1155,142,9,211
1156,134,53,79
1157,109,53,79
1158,223,82,52
1159,223,82,52
1160,223,82,52
1161,223,82,52
1162,223,82,52
1163,223,82,52
1164,223,82,52
1165,223,82,52
1166,134,53,79
1167,223,82,52
1168,223,82,52
1169,223,82,52
1170,223,82,52
1171,223,82,52
1172,223,82,52
1173,223,82,52
1174,223,82,52
1175,71,230,41
1176,71,230,41
1177,71,230,41
1178,71,230,41
1179,71,230,41
1180,71,230,41
1181,71,230,41
1182,71,230,41
1183,71,230,41
1184,71,230,41
1185,71,230,41
1186,71,230,41
1187,71,230,41
1188,71,230,41
1189,223,82,52
1190,223,82,52
1191,223,82,52
1192,223,82,52
1193,223,82,52
1194,223,82,52
1195,223,82,52
1196,223,82,52
1197,148,12,24
1198,148,12,24
1199,148,12,24
1200,148,12,24
1201,208,12,62
1202,208,12,62
1203,208,12,62
1204,208,12,62
1205,208,12,62
1206,208,12,62
1207,208,12,62
1208,208,12,62
1209,94,230,41
1210,94,230,41
1211,94,230,41
1212,223,82,52
1213,223,82,52
1214,223,82,52
1215,223,82,52
1216,223,82,52
1217,223,82,52
1218,223,82,52
1219,223,82,52
1220,94,230,41
1221,94,230,41
1222,109,230,41
1223,101,230,41
1224,231,238,77
1225,231,238,77
1226,231,238,77
1227,231,238,77
1228,231,238,77
1229,231,238,77
1230,193,245,46
1231,190,245,46
1232,190,245,46
1233,193,245,46
1234,175,251,49
1235,175,251,49
1236,210,220,226
1237,210,220,226
1238,210,220,226
1239,210,220,226
1240,210,220,226
1241,210,220,226
1242,13,233,153
1243,175,2,49
1244,175,2,49
1245,142,200,90
1246,142,200,90
1247,193,12,49
1248,193,12,49
1249,193,251,49
1250,193,251,49
1251,193,251,49
1252,193,251,49
1253,193,251,49
1254,193,251,49
1255,193,251,49
1256,193,251,49
1257,193,251,49
1258,223,2,49
1259,193,251,49
1260,193,251,49
1261,193,251,49
1262,193,251,49
1263,163,89,237
1264,163,89,237
1265,163,89,237
1266,163,89,237
1267,163,89,237
1268,163,89,237
1269,163,89,237
1270,163,89,237
1271,163,89,237
1272,163,89,237
1273,104,227,247
1274,104,227,247
1275,104,227,247
1276,104,227,247
1277,54,22,11
1278,54,22,11
1279,54,22,11
1280,54,22,11
1281,117,91,249
1282,117,91,249
1283,104,12,247
1284,104,12,247
1285,104,12,247
1286,91,12,247
1287,104,12,247
1288,36,22,11
1289,36,22,11
1290,36,22,11
1291,36,22,11
1292,117,91,249
1293,117,91,249
1294,111,91,249
1295,111,91,249
1296,223,82,52
1297,223,82,52
1298,223,82,52
1299,223,82,52
1300,223,82,52
1301,223,82,52
1302,223,82,52
1303,223,82,52
1304,185,5,62
1305,185,5,135
1306,185,5,135
1307,185,5,62
1308,162,22,183
1309,94,247,247
1310,114,247,247
1311,114,247,247
1312,94,247,247
1313,94,247,247
1314,94,247,247
1315,114,247,247
1316,114,247,247
1317,212,123,135
1318,212,123,135
1319,212,123,135
1320,212,123,135
1321,212,123,135
1322,212,123,135
1323,221,222,254
